FID_grid_v,NRI,genus.age,mean.age,lamda.dev,lamda.flower,lamda.fruit,Sample,Latitude,Longitude,elevation,BIO1,BIO1k,BIO2,BIO4,bio_5new,bio_6new,Bio5K,Bio6K,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17
140,0.057447132,24.78,11.48,0.972,0.637,0.303,138,36.403005,113.487834,1047,282.35,301.385,12.8,99,282,-129,301.35,260.25,294.45,268.45,633,172,5,99,393,18
141,0.070470785,NA,NA,1,0,0.826,13,36.231867,115.745785,38,286.95,301.845,11,103.51,323,-68,305.45,266.35,299.75,272.95,558,170,7,104,356,23
142,-0.036200682,NA,NA,0,0.19,0,22,36.020804,117.992633,424,284.95,301.645,10.8,99.22,294,-83,302.55,264.85,297.15,271.45,764,238,9,105,492,31
143,-0.000261855,NA,NA,0,0,0,11,36.074815,119.721595,66,285.45,301.695,8.2,95.54,288,-60,301.95,267.15,297.05,272.55,755,205,10,95,456,34
144,0.257956142,NA,NA,0.678,0.657,0.757,42,35.823053,77.45635,5804,262.05,299.355,11.1,97.66,91,-310,282.25,242.15,274.25,249.25,77,18,1,70,39,6
145,0.064048415,NA,NA,1.23,0,0,11,35.860436,79.304092,4837,267.95,299.945,13.4,98.74,160,-262,289.15,246.95,280.35,254.85,44,13,0,103,29,1
146,0.126592697,NA,NA,1,0.08,0,39,36.294454,81.496597,2393,280.75,301.225,14.5,102.58,283,-148,301.45,258.35,293.05,266.65,37,8,0,66,21,2
147,0.244944044,NA,NA,0,0.89,0,15,36.690224,83.712714,3542,273.25,300.475,15.2,101.37,214,-221,294.55,251.05,285.65,259.45,51,16,0,104,37,0
148,0.081133705,NA,NA,0.47,0.73,0.91,20,37.047185,85.950582,4801,265.85,299.735,14.2,94.17,125,-280,285.65,245.15,277.65,253.45,95,30,0,122,71,2
149,0.391177734,NA,NA,1,0.731,0.441,33,37.364814,88.208219,4830,265.45,299.695,14.1,89.94,115,-277,284.65,245.45,276.75,253.75,115,36,0,117,85,2
150,0.422943912,NA,NA,1,0,0.441,33,37.642631,90.483523,3980,269.95,300.145,14.7,88.86,156,-237,288.75,249.45,281.05,258.25,85,26,0,114,63,1
151,0.219182254,NA,NA,1,0,0,18,37.880202,92.774288,2749,276.65,300.815,16.4,98.34,243,-194,297.45,253.75,288.85,263.55,27,9,0,106,22,0
152,0.207905288,NA,NA,1,0.583,0.409,18,38.077149,95.07821,3768,271.15,300.265,14.8,93.88,175,-242,290.65,248.95,283.05,258.85,96,24,1,97,64,3
153,0.507209019,NA,NA,1,0.592,0.346,44,38.233153,97.392902,4096,268.55,300.005,13.5,92.2,139,-259,287.05,247.25,279.95,256.25,236,58,1,102,155,5
154,0.377873432,25.63,12.97,0.818,0.732,0.433,216,38.347954,99.715908,3185,272.55,300.405,13.3,90.75,175,-218,290.65,251.35,283.65,260.25,293,70,1,103,192,4
155,0.298072206,26.69,12.24,0.82,0.538,0,152,38.421362,102.044719,1789,279.65,301.115,14.2,103.5,273,-166,300.45,256.55,292.35,265.55,184,44,1,89,108,4
156,0.61999366,NA,NA,0.756,0.819,0.311,81,38.453252,104.376787,1345,281.85,301.335,14.2,112.14,306,-156,303.75,257.55,295.55,266.55,145,43,1,94,90,3
157,0.430179283,NA,NA,0.919,0.686,0,115,38.443571,106.709543,1322,281.05,301.255,13.2,108.51,285,-155,301.65,257.65,294.35,266.15,226,63,1,97,139,5
158,0.426840438,NA,NA,0.847,0.849,0,68,38.392334,109.040413,1216,281.55,301.305,13.5,110.57,295,-157,302.65,257.45,295.25,266.45,373,105,2,103,249,7
159,0.066173848,NA,NA,0.792,0.653,0.408,111,38.299629,111.366836,1630,278.15,300.965,12.8,106.2,248,-182,297.95,254.95,291.05,263.55,503,127,4,100,320,13
160,0.321150793,NA,NA,0.897,0,0.266,93,38.165611,113.686279,1124,280.65,301.215,12.5,102.83,263,-147,299.45,258.45,293.25,266.65,473,143,2,110,313,12
161,0.001398681,NA,NA,0.9,0.63,0.144,10,37.990503,115.996257,16,286.25,301.775,10.7,109.79,323,-87,305.45,264.45,299.85,271.65,414,129,4,120,298,15
162,0.097901956,NA,NA,1,0,0,8,37.557204,118.028599,7,285.95,301.745,11.6,103.65,314,-83,304.55,264.85,298.55,271.75,574,188,5,114,388,20
163,-0.163930015,NA,NA,1,0.522,0,12,37.136793,120.624562,155,284.05,301.555,8.3,100.05,278,-78,300.95,265.35,296.35,270.65,699,196,9,100,436,29
164,0.673990815,20.93,11.34,0.89,0.704,0.393,185,37.137657,76.557608,3819,272.65,300.415,11.4,104.9,197,-226,292.85,250.55,285.35,258.15,41,8,0,65,19,3
165,0.27315048,NA,NA,1,NA,NA,23,37.569476,78.713935,1332,285.75,301.725,13.6,107.56,331,-107,306.25,262.45,298.15,270.55,42,9,0,64,22,2
166,NA,NA,NA,NA,NA,NA,NA,38.013194,80.952638,1222,285.55,301.705,14.4,111.19,334,-119,306.55,261.25,298.35,269.95,26,6,0,74,17,0
167,-0.054602509,NA,NA,1,0.68,0,8,38.417998,83.216561,1193,284.35,301.585,16.7,117.57,341,-149,307.25,258.25,298.15,267.95,20,7,0,109,15,0
168,0.08545044,NA,NA,0.48,0.89,0.915,20,38.783265,85.503743,1138,283.95,301.545,16.3,118.34,336,-153,306.75,257.85,297.75,267.45,19,7,0,120,16,0
169,0.463738308,NA,NA,1,0.731,0.441,33,39.108414,87.812079,836,285.15,301.665,16.3,121.04,359,-141,309.05,259.05,299.45,268.35,25,10,0,88,17,1
170,0.377440823,NA,NA,1,0.73,0.441,33,39.392907,90.139336,1655,281.05,301.255,15.9,111.11,302,-166,303.35,256.55,294.45,265.85,29,10,0,108,22,0
171,0.534336667,NA,NA,1,0.624,0.34,43,39.636264,92.483163,1586,281.45,301.295,16.5,111.13,310,-164,304.15,256.75,294.95,266.35,18,6,0,111,15,0
172,0.340657652,NA,NA,0.9,0.94,0.989,12,39.838062,94.841098,1803,279.85,301.135,15.9,109.86,292,-173,302.35,255.85,293.35,264.95,45,12,1,95,29,3
173,0.310656291,NA,NA,0.68,0.803,0.785,27,39.997942,97.210587,1816,279.35,301.085,13.9,107.38,273,-164,300.45,256.75,292.35,264.75,75,17,1,78,45,4
174,0.407201906,24.99,10.93,0.854,0.684,0.459,142,40.115617,99.589001,1209,281.85,301.335,14.6,113.19,307,-157,303.85,257.45,295.55,266.35,73,18,1,85,46,3
175,0.62314643,NA,NA,0.868,0.61,0.429,66,40.19087,101.973647,1289,281.15,301.265,15,120.58,317,-174,304.85,255.75,296.05,264.85,69,17,0,100,43,0
176,0.643812124,NA,NA,0.755,0.538,0,81,40.223565,104.361791,1539,279.45,301.095,13.5,121.7,292,-183,302.35,254.85,294.45,263.05,99,25,0,94,63,0
177,0.549767514,NA,NA,0.498,0.475,0,49,40.213639,106.750673,1062,281.55,301.305,13.6,118.72,310,-162,304.15,256.95,296.15,265.45,135,41,0,103,89,2
178,0.585750885,NA,NA,0.677,0.787,0.524,54,40.161112,109.13753,1341,279.35,301.085,12.4,115.43,277,-172,300.85,255.95,293.55,263.65,305,92,1,109,205,6
179,0.314651353,NA,NA,1,0.485,0,64,40.06608,111.519611,1261,278.55,301.005,13.3,116.38,270,-192,300.15,253.95,292.55,262.45,429,113,3,107,280,12
180,0.232218365,NA,NA,0.995,0.609,0.302,92,39.928718,113.894201,1047,279.95,301.145,13.4,114.13,277,-174,300.85,255.75,293.85,264.35,375,109,3,100,238,13
181,0.171573128,NA,NA,0.955,0.54,0.239,79,39.749276,116.258632,48,285.35,301.685,11.1,107.08,311,-91,304.25,264.05,298.35,270.85,610,235,3,141,480,11
182,-0.073258094,NA,NA,1,1,0,32,39.782476,118.418249,77,283.85,301.535,11.4,109.78,296,-120,302.75,261.15,297.15,268.85,644,214,4,126,475,13
183,0.273607322,NA,NA,1,0,0,13,39.517354,121.654244,18,283.25,301.475,8.2,106.8,275,-103,300.65,262.85,296.15,268.75,633,176,7,104,405,24
184,0.550229717,NA,NA,0.875,0.682,0.166,117,38.783957,75.842704,2376,279.65,301.115,12.3,106.44,274,-158,300.55,257.35,292.25,264.75,67,14,1,69,32,4
185,0.29396186,NA,NA,0.39,0.957,0,26,39.275917,78.096713,1144,285.35,301.685,13.9,111.27,332,-122,306.35,260.95,298.25,269.65,49,9,0,68,27,1
186,-0.194918364,NA,NA,NA,NA,NA,NA,39.730186,80.383432,1086,284.85,301.635,15,113.11,331,-137,306.25,259.45,297.85,268.95,35,9,0,101,22,0
187,0.217649158,NA,NA,NA,NA,NA,NA,40.144828,82.697129,997,285.05,301.655,15.9,117.87,341,-145,307.25,258.65,298.65,268.45,28,8,0,91,20,0
188,0.500343607,NA,NA,0.8,1,0,22,40.51915,85.035727,917,284.95,301.645,14.6,119.81,338,-139,306.95,259.25,298.85,268.15,30,9,0,95,21,1
189,0.509619975,NA,NA,0.8,1,5,22,40.852502,87.396997,859,284.45,301.595,15.6,120.79,341,-152,307.25,257.95,298.75,267.75,37,10,0,81,24,0
190,-0.22828675,NA,NA,NA,3,0,NA,41.144288,89.778563,1443,280.95,301.245,15.2,118.35,309,-174,304.05,255.75,295.35,264.95,42,11,0,90,28,2
191,-0.090476618,NA,NA,NA,0,0,NA,41.393968,92.177913,954,283.55,301.505,15.4,123.37,342,-157,307.35,257.45,298.45,266.75,26,7,0,73,17,1
192,0.673691423,NA,NA,0.864,0.746,0.576,72,41.60107,94.592417,1526,279.75,301.125,14.8,114.62,292,-175,302.35,255.65,293.85,264.25,56,16,1,92,36,3
193,0.252581073,NA,NA,0,0.907,0.06,25,41.763244,97.017199,1776,277.75,300.925,15,110.38,270,-186,300.15,254.55,291.65,263.25,76,25,1,105,54,3
194,0.360541614,NA,NA,0.855,0.757,0.76,40,41.813501,99.453339,1061,281.15,301.265,14.7,121,313,-170,304.45,256.15,296.05,264.85,46,14,0,104,31,2
195,0.376514157,NA,NA,0.855,0.757,0.76,40,41.74625,101.778029,937,282.35,301.385,15,130.16,340,-175,307.15,255.65,298.35,264.75,36,11,0,85,24,0
196,0.585541822,NA,NA,0.755,0.538,0,81,41.456259,104.282131,799,282.45,301.395,14.3,130.02,337,-169,306.85,256.25,298.45,264.95,57,16,0,107,39,0
197,0.38119958,NA,NA,1,0,0.029,13,41.68167,106.894683,1381,278.65,301.015,12.5,122.15,283,-186,301.45,254.55,293.75,262.25,122,34,1,104,82,3
198,0.402328426,NA,NA,0.671,0.34,0,24,41.788329,109.289693,1698,276.05,300.755,12.7,121,252,-214,298.35,251.75,290.95,259.75,241,66,2,105,160,8
199,0.282827882,NA,NA,1,0.474,0.206,33,41.835149,111.679887,1394,276.85,300.835,13.1,132.32,274,-226,300.55,250.55,292.95,258.75,212,68,2,112,141,6
200,0.342032294,NA,NA,0.51,0.29,0,44,41.694126,114.11229,1370,277.05,300.855,11.3,121.38,252,-195,298.35,253.65,291.85,260.55,332,90,2,106,224,7
201,0.210574652,NA,NA,1,0.783,0.442,69,41.509944,116.533775,1453,275.05,300.655,12.5,121.85,228,-229,295.95,250.25,289.75,258.35,471,134,3,105,313,11
202,0.248617542,NA,NA,1.011,0.737,0,75,41.282957,118.941558,1111,277.65,300.915,12.2,115.61,246,-195,297.75,253.65,291.65,261.85,591,174,3,111,407,10
203,-0.013828911,NA,NA,0.906,0,0.264,15,41.198336,121.293767,57,282.35,301.385,10.5,116.41,286,-139,301.75,259.25,296.45,266.55,574,170,3,110,383,11
204,0.086561889,25.31,12.85,0.881,0.636,0.544,136,40.756437,123.649922,469,278.95,301.045,11,117.66,258,-184,298.95,254.75,293.25,262.85,914,247,10,100,577,34
205,0.616500877,20.86,11.98,0.858,0.764,0.304,142,39.993561,75.287619,3370,271.95,300.345,11.1,107.41,194,-234,292.55,249.75,284.55,256.85,210,34,6,56,94,20
206,0.569378895,NA,NA,0.842,0.923,0.421,43,40.661504,77.686187,3042,273.35,300.485,11.8,105.7,202,-222,293.35,250.95,285.65,258.45,178,34,2,84,100,7
207,0.37016382,NA,NA,0.905,0.629,0.432,57,41.303906,79.940896,1197,282.95,301.445,14.2,108.62,306,-143,303.75,258.85,295.65,267.75,98,20,2,67,50,7
208,0.484036196,NA,NA,0.876,0.464,0.414,47,41.872299,82.152768,1399,281.35,301.285,14.3,114.42,297,-171,302.85,256.05,294.45,265.15,127,25,2,77,71,6
209,0.517649817,NA,NA,0.74,0.616,0.112,74,42.256507,84.545015,2450,272.75,300.425,10.3,117.04,198,-225,292.95,250.65,285.85,255.85,190,48,1,107,131,3
210,0.666584204,NA,NA,0.545,0.733,0.459,92,42.598828,86.961598,3236,270.25,300.175,11.8,99.43,163,-233,289.45,249.85,282.25,256.75,244,59,1,100,159,4
211,0.59356809,NA,NA,0.691,0.732,0.481,81,42.898594,89.399984,-46,286.85,301.835,15.2,141.76,403,-140,313.45,259.15,304.05,267.95,17,3,0,43,7,1
212,0.506921655,NA,NA,0.771,0.548,0,34,43.1552,91.857492,703,283.25,301.475,14,131.37,339,-169,307.05,256.25,299.25,265.45,36,9,0,72,23,1
213,0.619468616,NA,NA,0.911,0.791,0.565,63,43.356533,94.317969,1925,276.35,300.785,12.9,108.06,237,-190,296.85,254.15,289.65,262.05,119,30,2,92,74,6
214,0.278262379,NA,NA,0,0.557,0,10,43.503836,112.1509,979,276.85,300.835,13.8,143.2,294,-242,302.55,248.95,294.25,257.25,150,41,1,105,101,3
215,-0.146587888,NA,NA,NA,NA,NA,NA,43.463907,114.341161,1122,275.55,300.705,13.3,139.58,272,-249,300.35,248.25,292.45,256.35,242,67,2,106,167,6
216,0.168446499,NA,NA,0.947,0.606,0.52,77,43.274348,116.822462,1250,274.65,300.615,13.1,131.04,249,-243,298.05,248.85,290.55,256.75,358,105,2,110,245,8
217,0.357464522,NA,NA,1,0.646,0.174,50,43.041098,119.289218,586,279.25,301.075,13.3,123.35,283,-183,301.45,254.85,294.35,262.65,369,116,1,119,270,5
218,0.551459564,NA,NA,1,0.791,0.465,44,42.764302,121.738183,324,279.65,301.115,12.3,126.9,283,-187,301.45,254.45,295.15,262.45,463,135,2,108,313,9
219,-0.045159036,NA,NA,0.976,0.835,0.811,95,42.444652,124.166708,270,279.65,301.115,12.3,129.88,286,-204,301.75,252.75,295.45,261.75,717,187,6,98,452,22
220,0.208304162,24.12,12.97,0.823,0.667,0.526,190,42.18879,126.509161,1030,274.15,300.565,12.9,134.87,241,-276,297.25,245.55,290.35,255.35,897,225,10,94,557,35
221,0.348258197,23.74,11.93,0.871,0.728,0.469,146,42.173597,128.399608,1319,272.95,300.445,12.4,120.91,214,-247,294.55,248.45,287.85,256.55,764,171,9,91,467,31
222,1.164453486,23.07,11.97,0.827,0.699,0.654,481,43.593878,81.69561,849,281.25,301.275,13,116.32,298,-166,302.95,256.55,294.75,264.75,235,33,10,38,93,32
223,1.069993646,22.69,11.99,0.854,0.715,0.627,355,43.997156,84.029941,2992,267.05,299.855,8.7,118.93,144,-270,287.55,246.15,280.55,250.15,362,79,4,90,218,13
224,1.079626178,22.57,12.93,0.801,0.724,0.671,295,44.349305,86.504369,444,282.65,301.415,11.5,136.63,336,-160,306.75,257.15,298.75,263.65,148,22,4,45,61,15
225,1.160286161,22.68,12.55,0.801,0.693,0.619,295,44.657826,89.002261,506,280.25,301.175,13.5,142.37,324,-208,305.55,252.35,297.05,260.55,157,20,5,35,56,19
226,0.411225711,NA,NA,1.015,0.673,0.423,60,44.668532,91.384211,824,279.95,301.145,14.1,134.57,310,-207,304.15,252.45,296.15,261.45,71,15,1,64,35,5
227,0.528225673,NA,NA,0.834,0.812,0.629,69,44.551338,93.568816,626,281.65,301.315,14.4,137.97,331,-199,306.25,253.25,298.15,262.55,55,12,1,72,31,3
228,-0.109674131,NA,NA,0,NA,NA,5,44.723315,112.363904,1058,275.55,300.705,13.5,142.36,281,-247,301.25,248.45,292.95,256.15,168,47,1,104,116,3
229,0.230824453,NA,NA,1.06,0,0,11,44.811261,114.801542,1325,272.85,300.435,13.7,141.88,251,-277,298.25,245.45,290.15,253.45,259,73,2,110,180,7
230,0.313443158,NA,NA,1.019,0.692,0.624,42,45.026477,117.149177,930,274.25,300.575,13.7,144.03,266,-264,299.75,246.75,291.85,254.65,292,83,3,107,201,9
231,0.042391604,NA,NA,1.017,0,0,22,44.804542,119.654533,756,275.85,300.735,13.5,131.57,263,-228,299.45,250.35,292.05,258.25,402,133,2,121,297,7
232,0.276211547,NA,NA,1,0.808,0.51,77,44.519615,122.163795,170,279.15,301.065,12.3,133.46,290,-200,302.15,253.15,295.45,261.05,396,129,1,118,290,5
233,0.152845843,NA,NA,1,0.427,0.63,34,44.190687,124.651106,257,277.95,300.945,11.5,137.05,278,-221,300.95,251.05,294.65,259.25,531,163,3,110,362,11
234,0.126155291,NA,NA,0.915,0.722,0.685,105,43.81847,127.113675,804,274.15,300.565,12.9,138.79,239,-284,297.05,244.75,290.95,254.95,747,198,7,98,477,23
235,0.023620213,NA,NA,1.013,0.783,0.245,107,43.46955,129.5003,276,277.65,300.915,12.7,130.19,266,-219,299.75,251.25,293.45,259.85,541,131,4,92,329,15
236,0.648769521,23.38,12.92,0.885,0.674,0.542,208,44.854347,81.285328,1381,276.55,300.805,12.2,116.42,254,-200,298.55,253.15,290.35,260.35,347,53,12,45,145,43
237,0.674291537,21.31,11.98,0.849,0.711,0.54,234,45.711672,83.605501,1879,272.85,300.435,10.8,124.24,220,-234,295.15,249.75,287.55,255.75,322,59,7,66,156,24
238,0.784978593,23.77,10.38,0.811,0.645,0.408,189,46.106055,86.023649,439,281.05,301.255,11.9,138.47,326,-174,305.75,255.75,297.65,261.95,119,22,3,53,52,13
239,0.875176043,23.08,11.85,0.742,0.642,0.64,237,46.424211,88.583917,717,277.95,300.945,13.2,140.72,295,-224,302.65,250.75,294.55,258.55,163,23,6,32,56,22
240,0.371488079,23.65,11.55,0.874,0.539,0.288,144,46.599538,90.366576,1260,275.35,300.685,14.2,137.66,265,-256,299.65,247.55,291.55,256.25,161,28,6,43,64,21
241,0.082829657,NA,NA,1.019,0.734,0.496,36,46.246821,117.761263,846,273.15,300.465,13.9,150.64,266,-284,299.75,244.75,291.65,252.85,282,82,3,107,192,9
242,0.203258426,NA,NA,1,0.883,0.764,81,46.488099,120.181165,988,271.95,300.345,13.5,141.3,237,-286,296.85,244.55,289.15,252.75,451,131,5,106,305,15
243,0.177045204,NA,NA,1,0.333,0.303,44,46.281664,122.611404,267,277.25,300.875,11.9,138.82,277,-224,300.85,250.75,294.15,258.35,424,139,2,119,309,7
244,0.374638801,NA,NA,1,0.948,0.067,56,45.942546,125.160263,142,277.15,300.865,12.1,144.63,282,-244,301.35,248.75,294.75,257.35,449,142,2,113,310,8
245,0.157318729,NA,NA,0.901,0.773,0.577,127,45.559016,127.682463,470,274.35,300.585,12.8,145.96,256,-283,298.75,244.85,291.95,254.15,677,181,6,100,434,21
246,0.109043905,NA,NA,0.844,0.724,0.54,73,45.142419,130.146131,376,276.25,300.775,12,137.62,266,-239,299.75,249.25,292.75,257.25,565,131,4,94,347,19
247,0.053012841,NA,NA,1,0.518,0.256,53,45.323661,132.28433,66,277.45,300.895,10.9,132.85,265,-215,299.65,251.65,293.35,259.05,569,118,6,77,300,27
248,0.688277325,22.23,11.62,0.732,0.629,0.517,176,47.657964,86.139605,612,278.05,300.955,11.5,132.03,285,-188,301.65,254.35,293.95,260.15,167,24,6,36,61,19
249,1.160417912,23.72,11.88,0.841,0.739,0.661,394,48.007241,87.914912,1853,272.55,300.405,11.7,120.28,207,-238,293.85,249.35,287.25,256.45,209,40,5,57,97,19
250,0.349415254,NA,NA,1,0.914,0.95,62,48.696908,117.756121,558,273.05,300.455,13.1,158.51,273,-293,300.45,243.85,292.45,251.65,278,92,2,119,202,7
251,-0.256225968,NA,NA,1.05,1,1,14,48.359682,120.449626,971,270.75,300.225,12.8,147.67,235,-302,296.65,242.95,288.75,250.65,442,125,4,106,299,15
252,0.087144969,NA,NA,0.854,0.951,0.79,59,48.052919,123.082719,359,274.65,300.615,12.4,143.09,258,-261,298.95,247.05,292.15,255.25,463,144,3,115,324,10
253,0.041037618,NA,NA,0.518,0.402,0,40,47.702552,125.696113,254,274.85,300.635,11.9,151.44,266,-274,299.75,245.75,293.15,254.05,489,150,3,112,331,10
254,-0.129439666,NA,NA,0.99,1,0,16,47.306553,128.280731,327,274.05,300.555,12.9,151.22,261,-295,299.25,243.65,292.15,253.05,636,164,5,101,409,17
255,0.030088772,NA,NA,1.019,0.957,0.577,64,46.863401,130.832945,83,276.35,300.785,11.4,143.53,273,-243,300.45,248.85,293.65,256.65,551,129,5,93,331,19
256,0.086370789,NA,NA,0.949,0.882,0.473,70,46.477653,132.947561,90,276.15,300.765,10.8,143.96,267,-245,299.85,248.65,293.35,256.25,573,127,6,83,317,23
257,0.220916058,NA,NA,0.767,0,0,16,49.851968,118.723823,544,271.85,300.335,13.4,163.25,265,-321,299.65,241.05,291.55,249.45,340,105,2,115,243,9
258,0.076548239,NA,NA,0.85,0.866,0.763,92,50.149441,120.872667,869,269.05,300.055,14.5,155.74,229,-345,296.05,238.65,287.75,247.75,458,130,4,107,312,14
259,0.115599373,NA,NA,0.88,0.708,0,37,49.836178,123.579651,399,271.75,300.325,15.7,154.6,252,-332,298.35,239.95,290.25,250.55,493,145,3,110,336,11
260,0.234319247,NA,NA,0.903,0.739,0.499,70,49.459392,126.22218,385,272.25,300.375,13.3,155.46,253,-310,298.45,242.15,290.85,250.85,528,143,3,104,345,12
261,0.050052163,NA,NA,0.882,0,0.182,31,48.796262,128.765073,385,272.35,300.385,13.1,156.46,254,-319,298.55,241.25,290.95,250.75,644,155,5,98,402,20
262,-0.108311685,NA,NA,NA,NA,NA,NA,47.778451,133.749609,51,275.15,300.665,10.6,150.5,268,-260,299.95,247.15,293.05,254.25,631,134,8,80,342,30
263,0.191177337,NA,NA,0.74,0.699,0.561,90,51.934436,121.506884,837,267.35,299.885,15.8,162.46,224,-378,295.55,235.35,286.85,245.35,483,129,4,102,318,16
264,0.191587482,NA,NA,0.881,0.55,0.484,92,51.634672,124.10432,639,268.85,300.035,15.1,162.28,235,-360,296.65,237.15,288.35,246.85,508,135,4,102,328,15
265,0.119520415,NA,NA,0.881,0.55,0.484,92,51.156274,126.232014,401,270.75,300.225,13.2,163.03,250,-329,298.15,240.25,290.35,248.45,506,128,3,99,322,14
266,-0.099851495,NA,NA,1,1,1,15,53.121151,122.057038,694,267.65,299.915,15.4,167.37,234,-375,296.55,235.65,287.85,245.15,466,116,4,98,299,16
267,-0.198878593,NA,NA,NA,0,0,NA,52.919013,124.384827,425,269.35,300.085,14.8,165.06,249,-350,298.05,238.15,289.25,247.15,475,121,4,98,298,15
