FID_grid_v,lamda.dev,lamda.flower,lamda.fruit,Sample,Latitude,Longitude,elevation
229,1.06,0,0,11,44.811261,114.801542,1325
157,0.919,0.686,0,115,38.443571,106.709543,1322
221,0.871,0.728,0.469,146,42.173597,128.399608,1319
40,0.715,0.523,0.22,371,27.789199,106.498332,1311
175,0.868,0.61,0.429,66,40.19087,101.973647,1289
39,0.786,0.611,0.556,866,27.797789,104.453795,1266
179,1,0.485,0,64,40.06608,111.519611,1261
240,0.874,0.539,0.288,144,46.599538,90.366576,1260
216,0.947,0.606,0.52,77,43.274348,116.822462,1250
79,0.763,0.623,0.713,578,31.225244,110.821123,1233
166,NA,NA,NA,NA,38.013194,80.952638,1222
158,0.847,0.849,0,68,38.392334,109.040413,1216
174,0.854,0.684,0.459,142,40.115617,99.589001,1209
21,0.628,0.555,0.357,916,25.63976,98.848575,1197
207,0.905,0.629,0.432,57,41.303906,79.940896,1197
167,1,0.68,0,8,38.417998,83.216561,1193
2,0.664,0.294,0.121,1034,22.395008,100.686379,1175
33,NA,NA,NA,NA,24.560436,121.54535,1159
185,0.39,0.957,0,26,39.275917,78.096713,1144
168,0.48,0.89,0.915,20,38.783265,85.503743,1138
46,0.797,0.538,0.354,338,26.966137,118.679013,1132
25,0.714,0.361,0.147,484,25.993734,106.468102,1124
160,0.897,0,0.266,93,38.165611,113.686279,1124
215,NA,NA,NA,NA,43.463907,114.341161,1122
202,1.011,0.737,0,75,41.282957,118.941558,1111
13,0.598,0.412,0.152,1149,24.199452,104.473251,1110
186,NA,NA,NA,NA,39.730186,80.383432,1086
177,0.498,0.475,0,49,40.213639,106.750673,1062
194,0.855,0.757,0.76,40,41.813501,99.453339,1061
228,0,NA,NA,5,44.723315,112.363904,1058
140,0.972,0.637,0.303,138,36.403005,113.487834,1047
180,0.995,0.609,0.302,92,39.928718,113.894201,1047
220,0.823,0.667,0.526,190,42.18879,126.509161,1030
3,0.596,0.321,0.088,960,22.840023,102.446154,1029
187,NA,NA,NA,NA,40.144828,82.697129,997
41,0.646,0.494,0.336,458,27.743728,108.541599,988
242,1,0.883,0.764,81,46.488099,120.181165,988
35,0.824,0.805,0.428,291,27.730255,94.007609,983
214,0,0.557,0,10,43.503836,112.1509,979
98,0.81,0.667,0.625,557,33.085149,108.774606,973
251,1.05,1,1,14,48.359682,120.449626,971
191,NA,0,0,NA,41.393968,92.177913,954
195,0.855,0.757,0.76,40,41.74625,101.778029,937
230,1.019,0.692,0.624,42,45.026477,117.149177,930
188,0.8,1,0,22,40.51915,85.035727,917
258,0.85,0.866,0.763,92,50.149441,120.872667,869
189,0.8,1,5,22,40.852502,87.396997,859
222,0.827,0.699,0.654,481,43.593878,81.69561,849
241,1.019,0.734,0.496,36,46.246821,117.761263,846
263,0.74,0.699,0.561,90,51.934436,121.506884,837
169,1,0.731,0.441,33,39.108414,87.812079,836
64,0.842,0.686,0.509,328,28.739874,118.963064,826
226,1.015,0.673,0.423,60,44.668532,91.384211,824
59,0.721,0.559,0.469,568,29.53043,108.616006,820
234,0.915,0.722,0.685,105,43.81847,127.113675,804
